['c+', '*', '*', 'a+', '*', 'r+', '*', '*'] RRD RRD
['r+', 'd+', '*', 't+', 'd+', 'p+', '*', 'a+'] LUU LUU
['c+', '*', '*', 't+', 'd+', '*', '*', 't+'] RDD RDD
['d+', '*', '*', 't+', 'p+', 't+', 'd+', '*'] RRU RRU
['t+', '*', 'p+', '-', '*', 'd+', 'p+', '*'] RRD RRD
['c+', 'p+', '*', 'a+', '-', 'p+', '*', '-'] LDD LDD
['*', '*', 'd+', '*', '-', 'p+', '-', '*'] LLD LLD
['*', '*', '*', 'a+', '-', 'c+', 't+', 'a+'] RRU RRU
['a+', '-', '*', '*', 'c+', '*', '*', '*'] LUU LUU
['*', '*', 'r+', 'c+', '-', 'a+', '*', '-'] LLD LLD
['*', 'c+', '*', '*', 't+', '-', '*', '*'] RDD RDD
['r+', 'a+', 'p+', 'r+', '*', 'r+', 'r+', 'a+'] RRU RRU
['r+', '*', '*', 'p+', '*', '-', 'd+', 't+'] LUU LUU
['r+', '*', '*', 'd+', '*', '*', 'r+', 'a+'] RRU RRU
['*', '*', 'd+', 't+', '*', 'c+', 'p+', '*'] LLD LLD
['p+', 'd+', '*', 'a+', '*', '*', 'd+', '*'] RRU RRU
['a+', '*', '*', 't+', '*', '*', 'r+', '*'] RRU RRU
['t+', '-', 'r+', 'r+', '-', '-', '*', 'r+'] RUU RUU
['*', '*', '*', '*', '*', '-', 'c+', 't+'] RUU RUU
['*', 'c+', 't+', 'd+', '*', 'c+', 't+', '*'] LDD LDD
['t+', '*', '*', '-', 'p+', '*', '*', '*'] LUU LUU
['c+', '*', '-', '*', 'c+', '*', '*', '-'] RDD RDD
['*', '*', '*', '*', '*', '*', '*', '*'] RUU RUU
['*', 'a+', '*', '*', 'r+', 't+', '*', '*'] RDD RDD
['*', '*', '-', 'd+', '*', 'a+', '*', 't+'] LDD LDD
['*', 'r+', '*', 'c+', '-', '*', 't+', '-'] LLU LLU
['-', 'r+', '*', 'c+', 'p+', '*', '*', 'd+'] LLU LLU
['*', 't+', '-', '*', 't+', '*', '*', 'p+'] RDD RDD
['*', 'c+', '*', '*', '*', '*', '*', '*'] LLU LLU
['a+', 't+', '*', '*', 'r+', '*', 'r+', 'a+'] RRU RRU
['*', 'p+', '*', '*', 't+', 'd+', '*', '*'] RRD RRD
['*', '*', 't+', '*', '*', '*', 'd+', '*'] RRU RRU
['*', '*', 'p+', '*', '-', '*', '*', 'a+'] RUU RUU
['-', '*', 'a+', '*', '*', '*', 'p+', 't+'] RUU RUU
['*', 'r+', '*', '*', '*', '*', '*', 'd+'] LLU LLU
['-', '*', '*', '*', '*', '*', '*', '-'] RUU RUU
['*', '*', '*', 'p+', 'd+', '*', '*', '*'] RDD RDD
['*', '*', '*', '*', '*', 'a+', 'a+', '*'] RRU RRU
['c+', '-', 'p+', 'r+', '*', '*', '*', 't+'] LDD LDD
['*', '-', 't+', '*', 'r+', '*', 'p+', '*'] RDD RDD
['p+', 'c+', 'r+', '*', '*', '*', 'a+', '*'] LLD LLD
['*', 'p+', '*', 'a+', '*', '*', '-', '*'] LDD LDD
['*', 'c+', 'c+', '*', 'a+', '*', '-', 'a+'] RUU RUU
['*', '*', '-', '*', '*', 'd+', 't+', 't+'] RRD RRD
['*', '-', '*', 'd+', '*', '*', 't+', '-'] LDD LDD
['*', 'r+', '*', 'c+', '*', '*', '*', '*'] LLU LLU
['a+', 'a+', '*', '*', '*', '*', 'a+', '*'] RRU RRU
['*', 'a+', '-', '*', '*', '*', '*', 'd+'] RUU RUU
['r+', '*', '*', '*', '*', 't+', 't+', 'c+'] LUU LUU
['*', '*', '*', '*', '*', '*', 'r+', 'd+'] RRU RRU
['*', '*', '*', '*', '*', 'c+', '*', 'r+'] RUU RUU
['*', '-', '-', '*', 'a+', '*', '*', 'd+'] RUU RUU
['c+', '*', '*', '*', 'c+', 'p+', '*', 't+'] RUU RUU
['t+', '*', '*', 't+', '*', '*', 'd+', '*'] RRU RRU
['*', '*', '*', 'r+', 'r+', '*', 'r+', '*'] RRU RRU
['-', 'p+', '*', 'r+', 'a+', '*', '-', '*'] LDD LDD
['*', '*', 'p+', 't+', 't+', '*', '*', '*'] RDD RDD
['c+', '*', '*', '*', '*', '*', 'c+', '*'] RRU RRU
['*', '*', '*', '-', 'c+', 'r+', '*', '*'] RRD RRD
['*', 'p+', 'a+', '*', '*', 't+', '*', '*'] RRD RRD
['*', 'p+', '*', 'p+', '*', 't+', '*', 't+'] RUU RUU
['*', '*', 'p+', 'r+', 't+', 'p+', 'p+', '*'] LDD LDD
['t+', 'a+', '*', '-', 'c+', '*', 'p+', '*'] LUU LUU
['a+', '*', '-', 'p+', '*', 't+', '*', '*'] RRD RRD
['-', '*', '-', 'a+', '*', 'r+', '*', '*'] RRD RRD
['*', '*', 'p+', 'a+', '*', '*', 'a+', '*'] RRU RRU
['t+', '*', '*', '*', '*', 't+', 'r+', 'd+'] RRU RRU
['p+', '*', '*', '*', '*', 'r+', 'r+', '*'] RRU RRU
['*', 'r+', '*', '*', 'c+', '*', '*', '*'] LLU LLU
['c+', '*', '*', '*', 'a+', 'p+', 'p+', 'r+'] RUU RUU
['p+', '*', 't+', '*', 'd+', '*', 'a+', '-'] RDD RDD
['a+', 't+', 'd+', '*', '-', '*', 'p+', 'c+'] LLD LLD
['*', '*', 'a+', '*', 'a+', '*', 'a+', '*'] RRU RRU
['c+', '*', 'r+', '*', '*', '*', '*', 'p+'] LLD LLD
['*', 'r+', '*', '*', '*', 'c+', 'c+', 'r+'] RUU RUU
['r+', '*', 't+', '*', '*', '*', '*', '*'] LUU LUU
['*', 'c+', 'p+', 'p+', 'p+', '*', 'p+', '*'] LLU LLU
['a+', 'r+', 'r+', '*', '*', '*', 'c+', 'c+'] LLD LLD
['a+', '*', '*', '*', 't+', '*', 'c+', 't+'] RUU RUU
['*', '*', '*', '-', '*', 'c+', 'a+', '*'] RRU RRU
['*', '*', '*', 'c+', 'p+', '*', '*', 'a+'] RUU RUU
['*', 'c+', 'c+', 'a+', 't+', 'd+', '*', 'r+'] RUU RUU
['-', '*', 'a+', '*', '*', 'p+', '*', '*'] LLD LLD
['*', '*', '*', '*', '*', '*', '*', 't+'] RUU RUU
['-', 'c+', '*', 'r+', '*', 'r+', '*', 't+'] RRD RRD
['*', '*', '*', '*', 't+', 'r+', '*', '*'] RRD RRD
['*', '-', '*', '*', 'r+', 'd+', '-', 'a+'] RDD RDD
['p+', 'r+', '*', '*', '*', '*', '*', 't+'] LLU LLU
['*', 'a+', 'c+', '*', '*', '*', 'p+', '-'] LLU LLU
['p+', '-', '*', '*', '*', 'p+', '*', 't+'] RUU RUU
['d+', '*', 'c+', 'd+', 'c+', 'c+', 'd+', 'd+'] RUU RUU
['r+', '*', 'a+', '*', '-', '*', '*', '*'] LUU LUU
['*', 'a+', '-', '*', 'a+', '*', 'c+', '*'] RDD RDD
['*', '-', 'd+', 'c+', '*', '*', 't+', '*'] LLD LLD
['*', 'r+', 'a+', '*', '*', 'r+', '-', '*'] RRD RRD
['*', '*', '*', '-', '*', '*', '*', '*'] LDD LDD
['t+', 'p+', 'p+', '*', 'r+', '*', '*', '*'] RDD RDD
['a+', 'r+', '*', '*', 't+', '*', '*', '-'] LLU LLU
['a+', '-', 'c+', '*', 't+', 'p+', '*', 't+'] RUU RUU
['-', '*', '*', '*', 'd+', '*', 'd+', '-'] RRU RRU
['*', 'd+', 'p+', '*', 'a+', 'c+', 'd+', 'd+'] RUU RUU
['p+', '*', 'a+', 'r+', '*', '*', '*', '*'] LDD LDD
['*', 'p+', '*', 'r+', '*', '*', '*', '*'] LDD LDD
['*', 't+', 'd+', 'p+', '*', '*', '*', 't+'] LLD LLD
['*', '*', '*', 'd+', 'd+', '*', '*', '-'] RDD RDD
['*', '-', 'p+', '*', 'c+', 'd+', 'd+', 'd+'] RUU RUU
['*', '*', '*', '*', '*', 't+', '*', 't+'] RUU RUU
['*', '*', 'r+', '*', '*', '*', 'a+', 't+'] LLD LLD
['*', 'd+', '*', 'a+', '*', '*', '*', 'c+'] LLU LLU
['t+', 'a+', 't+', 't+', 'a+', '*', 'p+', 't+'] RUU RUU
['a+', '*', '*', 'c+', '*', 'a+', 'r+', '*'] RRU RRU
['*', '*', 'a+', 't+', '*', '*', '*', '-'] LDD LDD
['r+', 'p+', 'a+', 'r+', 'r+', 'r+', 'd+', '*'] RRD RRD
['*', '*', '*', '*', 'r+', '*', '*', '*'] RDD RDD
['*', 'd+', '*', '-', 'r+', '*', '*', 'a+'] RDD RDD
['d+', 't+', 'd+', 'r+', '*', '*', '*', '-'] LDD LDD
['*', 'c+', 'r+', 'a+', '*', '*', '-', 'a+'] LLD LLD
['a+', '-', '*', '-', '*', '*', 'r+', '*'] RRU RRU
['*', 'r+', '*', 'r+', '*', '*', '*', '-'] LDD LDD
['r+', '*', 't+', '*', '*', '*', '-', '-'] LUU LUU
['c+', 'a+', 'a+', '*', '*', '*', 'c+', 'd+'] RUU RUU
['*', '*', 'a+', '*', 'p+', 't+', '*', '*'] RRD RRD
['t+', '*', '*', '*', 'r+', '*', 'a+', 'p+'] RDD RDD
['*', '-', '*', 'a+', 'p+', 'p+', 't+', '*'] RRU RRU
['*', 'p+', '*', '*', '*', '-', 'd+', 'p+'] RRU RRU
['r+', '*', 'c+', 'r+', '*', '*', 'a+', 'a+'] LDD LDD
['p+', 'r+', 'p+', 'c+', 't+', '*', 'd+', '*'] LLU LLU
['*', 'a+', '*', '*', '*', '*', 'r+', '-'] RRU RRU
['c+', 'a+', 't+', 'd+', 'd+', '*', 'a+', '*'] RDD RDD
['d+', '*', '*', 'a+', '*', '*', '-', 't+'] LUU LUU
['*', 'r+', '*', '*', '*', 'r+', 'a+', 'a+'] RRD RRD
['t+', '*', 'a+', '*', 'c+', '*', '*', '*'] LUU LUU
['*', '*', '*', 't+', '*', '*', '*', '*'] LDD LDD
['*', '*', 'p+', 'a+', '*', '*', '-', '*'] LDD LDD
['*', '*', '*', '*', '*', '*', '*', 'p+'] RUU RUU
['r+', 'r+', 't+', '*', '*', '*', '*', 'c+'] LLU LLU
['t+', 'p+', '*', '*', 'd+', '*', '*', 'p+'] RDD RDD
['-', '*', '*', 'c+', '*', '*', 't+', '*'] RRU RRU
['*', 'p+', '-', '*', '*', '*', 'p+', '*'] RRU RUU
['c+', 'r+', '*', 't+', '*', '*', 'a+', '*'] LLU LLU
['*', '*', '*', 'c+', 'c+', '*', '*', '*'] RDD RDD
['r+', 'p+', '*', '*', '*', '*', '*', '*'] LUU LUU
['c+', 'a+', 't+', 'p+', 'a+', 'p+', '*', 'a+'] LLD LLD
['*', 't+', 'p+', '*', '-', '*', '*', 'c+'] LLU LLU
['*', 'd+', '*', '*', 'a+', 't+', '*', '*'] LLU LLU
['p+', 't+', '*', 'p+', 'd+', '*', 'r+', 'r+'] RUU RUU
['*', '*', '*', '*', '*', '-', 'p+', 'd+'] RUU RUU
['c+', '*', 'a+', '*', '-', 'c+', 't+', 'r+'] RUU RUU
['*', '*', '*', 't+', 'r+', '*', 'r+', '*'] RRU RRU
['*', '*', 'r+', '*', '*', '*', 'a+', '*'] LLD LLD
['*', 't+', '*', '*', 't+', '*', '*', 'a+'] RDD RDD
['r+', '-', '*', 't+', '*', 'd+', '*', 'p+'] LUU LUU
['*', 't+', 'd+', '*', '*', 't+', '-', 'r+'] RUU RUU
['*', 'a+', 'r+', '*', 'd+', 't+', 'r+', '*'] RRU RRU
['t+', '*', 'd+', 't+', '*', '*', '*', '-'] LLD LLD
['*', 'c+', '*', 'a+', 't+', 't+', '*', 'p+'] RRD RRD
['p+', '*', '*', '*', '*', '*', 'a+', '*'] RRU RRU
['*', '*', '*', 'c+', 'r+', 'd+', '*', 'c+'] RDD RDD
['*', '-', '*', '*', '*', '*', 't+', '*'] RRU RRU
['c+', 'c+', '*', '-', '*', '-', '*', '*'] LLU LLU
['t+', 't+', '*', '*', 'a+', '-', '*', 't+'] RUU RUU
['d+', '*', '*', '*', 't+', 't+', '-', 't+'] LUU LUU
['r+', 'r+', '*', 'r+', '*', 'p+', 'd+', '*'] LDD LDD
['*', 'd+', '-', 't+', '*', '*', '*', 'c+'] LLU LLU
['*', 'r+', '*', '*', '*', '*', '*', 'd+'] LLU LLU
['t+', 'r+', '*', 'd+', '*', 'd+', '*', '*'] LLU LLU
['c+', 'p+', 'd+', 'c+', '*', '*', '-', 't+'] LLD LLD
['*', 'r+', '*', '*', 'c+', '*', '*', '*'] LLU LLU
['*', 'r+', 't+', 'a+', 'c+', '*', '-', 'd+'] LLU LLU
['r+', 'a+', '*', 'a+', 'c+', '*', '*', '*'] LUU LUU
['p+', 't+', 'd+', '-', '*', '*', 'p+', '*'] LLD LLD
['d+', '*', '*', '*', 'd+', '-', '*', 'a+'] RDD RDD
['*', 'd+', 'r+', '*', '*', 'd+', '-', '*'] LLD LLD
['r+', '*', '*', '*', '*', '*', '*', '*'] LUU LUU
['-', '*', 'a+', 't+', '-', '-', '*', '-'] LDD LDD
['*', 'a+', 'c+', 't+', 'p+', 'c+', 'c+', '*'] LDD LDD
['r+', '*', '-', '*', 'r+', 'a+', '-', 'p+'] RDD RDD
['c+', '*', 'c+', '*', '*', 'd+', 'a+', '*'] RRD RRD
['a+', 'a+', 'c+', '*', '*', '*', 'p+', '*'] LLU LLU
['*', '*', '*', 'c+', 'd+', 'c+', 'p+', '*'] RDD RDD
['*', 't+', 'p+', 'd+', 'd+', '*', '*', '*'] RDD RDD
['*', '*', '*', 'd+', 't+', '*', 'p+', 'c+'] LDD LDD
['*', 'c+', 'c+', 'd+', '*', '*', '*', 'p+'] LDD LDD
['r+', '*', 'd+', 'p+', 't+', 'p+', '-', '*'] LUU LUU
['*', '-', 'a+', '*', '*', 'p+', '*', 'a+'] RUU RUU
['*', 'c+', 'a+', 'd+', '*', '*', '*', '*'] LDD LDD
['*', '*', '*', 'c+', '*', '*', '*', '*'] LDD LDD
['*', 'a+', 't+', 'd+', 'r+', 'c+', 'r+', '*'] RRU RRU
['d+', 'a+', 't+', '*', '*', '*', '*', 'd+'] RUU RUU
['d+', 'r+', 'p+', '*', '*', 't+', 'd+', 'r+'] RUU RUU
['a+', 't+', '*', '*', '*', 'p+', '*', '*'] LLU LLU
['*', 'd+', '*', '*', '*', 'c+', 'c+', '*'] LLU LLU
['*', 'd+', '*', '*', '*', '*', 'd+', '*'] RRU RRU
['*', 'c+', '*', 'd+', '*', '*', '*', '*'] LDD LDD
['*', 'r+', '*', 'a+', '*', '*', 'd+', 'p+'] LLU LLU
['c+', '*', '*', 'p+', 'd+', 'a+', '*', '*'] RDD RDD
['*', '*', '*', '*', '*', 'a+', 'p+', '*'] RRD RRD
['*', 'r+', '-', 't+', '*', '-', '*', '*'] LLU LLU
['-', '*', 't+', '*', '*', '*', '*', '-'] LLD LLD
['*', 'd+', '*', '*', 't+', '-', '*', '*'] LLU LLU
['*', 't+', '*', 'd+', 'p+', '*', 'c+', '*'] LDD LDD
['*', 'p+', 'd+', 'p+', '*', '*', '*', '*'] LLD LLD
['*', 't+', 'r+', 'a+', '*', 'p+', '*', '*'] LLD LLD
['*', 'a+', '*', '*', '*', '*', 'c+', '-'] LLU LLU
['c+', '*', '-', '-', 'p+', '*', '*', 'p+'] LUU LUU
['*', 'd+', '*', '*', '*', 't+', 'a+', 'd+'] RUU RUU
['*', '*', '*', 't+', 'a+', '*', '*', '*'] LDD LDD
['r+', '-', 'a+', '*', '-', '*', '*', 'p+'] LUU LUU
['*', '-', '*', '*', '*', '*', 'c+', 'd+'] RUU RUU
['a+', '-', '*', 'p+', '*', '*', 't+', '*'] RRU RRU
['r+', '*', 'a+', '-', 'a+', '*', 'a+', 'c+'] LUU LUU
['*', '*', 't+', 'a+', 'd+', 'a+', 't+', 'a+'] RDD RDD
['d+', '-', '*', '*', 'c+', '*', '-', '*'] LUU LUU
['p+', '*', '*', '-', '*', '*', 'r+', 'r+'] RUU RUU
['c+', 'a+', '*', 'r+', '*', '*', '*', '*'] LDD LDD
['*', '*', 'p+', '*', '*', '*', '*', '*'] LLD LLD
['*', '*', '*', 'r+', '*', 't+', 'c+', '*'] LDD LDD
['*', '-', '*', 'c+', 'p+', '*', 't+', '*'] RRU RRU
['*', 't+', 'a+', '*', '*', 'c+', '*', '*'] LLU LLU
['t+', '*', '*', '*', '-', '*', 'a+', '*'] LUU LUU
['*', '*', 't+', 'p+', '*', '*', 'a+', 'c+'] LLD LLD
['*', '*', 't+', '*', '*', 't+', 'a+', 'c+'] RRD RRD
['c+', '*', '*', 'r+', 'r+', '*', 'a+', 't+'] RDD RDD
['*', 'c+', '*', 'd+', 'c+', 'p+', '*', 'd+'] RUU RUU
['*', 'd+', 'c+', '*', 'd+', '*', 'c+', 'a+'] RDD RDD
['c+', 'p+', '*', '*', '-', 'a+', 'r+', 'c+'] RRU RRU
['r+', '*', 'a+', '*', 'a+', '-', '*', '*'] LUU LUU
['t+', '*', 'a+', '*', '*', 'a+', '*', 'c+'] LUU LUU
['*', '*', 'a+', '*', '*', '*', 'p+', 't+'] RUU RUU
['r+', 'p+', '*', 'r+', '*', '*', 't+', 'd+'] LDD LDD
['-', '*', '*', '*', 't+', 'p+', 'c+', 'r+'] RUU RUU
['*', 'd+', 'r+', '*', 'c+', '*', '*', '*'] LLD LLD
['*', 'p+', '-', '*', 'd+', 'c+', 't+', 't+'] RDD RDD
['t+', '-', 'a+', '*', 'd+', 'a+', 'c+', '*'] RDD RDD
['c+', 't+', '*', '-', 't+', '*', 'a+', 'p+'] RDD RDD
['p+', 'r+', 'r+', '-', 't+', '*', '*', '*'] LLD LLD
['*', 'a+', 't+', '-', '*', '*', 'p+', 'd+'] RUU RUU
['c+', 'a+', '*', '-', '*', 'd+', 't+', 'c+'] RRD RRD
['d+', '-', '*', 'p+', '*', '*', '*', 'a+'] LUU LUU
['d+', 'p+', '*', '*', 'd+', 'c+', 'r+', '*'] RRU RRU
['*', '*', 'r+', 'c+', '*', '*', '*', '-'] LLD LLD
['c+', 'c+', '*', '*', '*', 'd+', 't+', '-'] RRD RRD
['*', '*', 'd+', '*', '-', '*', '*', '*'] LLD LLD
['*', '*', '*', '*', '*', '*', '*', 't+'] RUU RUU
['*', 'a+', 'd+', '*', 't+', 'c+', 'd+', '*'] RRU RRU
['*', '*', '-', '*', '*', '*', '*', '*'] LLD LLD
['-', 'r+', '*', '*', '*', '*', 'a+', '*'] LLU LLU
['d+', '*', 'a+', 'c+', '-', '-', '*', 'r+'] RUU RUU
['*', 'd+', 'd+', '*', '*', '*', '*', 'd+'] RUU RUU
['*', 'r+', 'r+', '*', '-', '*', 'd+', '*'] LLD LLD
['p+', '*', '*', '*', 'c+', '*', '*', '*'] RDD RDD
['c+', 'a+', '*', '*', '-', 'r+', 'a+', 'a+'] RRD RRD
['*', '-', 'd+', 'p+', '-', 'c+', '*', 'a+'] LLD LLD
['*', '*', '-', '-', '*', '*', '*', '*'] LDD LDD
['-', 'r+', 'p+', '*', 'a+', 'r+', '*', '-'] RRD RRD
['p+', '*', 't+', 'd+', '*', '*', '*', '*'] LDD LDD
['*', 'p+', 'p+', '*', '*', '-', 'p+', 'c+'] RUU RUU
['*', 'c+', 'r+', '*', '*', 'd+', 'd+', 'p+'] LLD LLD
['t+', '*', '*', 'd+', '*', 'r+', 'r+', '*'] RRU RRU
['t+', 't+', 'a+', '*', 'r+', '*', 'c+', 'd+'] RDD RDD
['-', '*', 'r+', '*', '*', 'r+', 't+', '*'] RRD RRD
['-', '*', 'a+', '*', '*', '*', '*', '*'] LLD LLD
['-', '*', '*', 'p+', '*', 'c+', '*', '*'] RRD RRD
['t+', 'r+', '*', '*', 'a+', 'r+', '*', '*'] RRD RRD
['r+', 'p+', '*', 't+', 'r+', 'p+', '*', 'p+'] RDD RDD
['p+', '*', '*', 'r+', 't+', '*', 't+', 'd+'] LDD LDD
['p+', 't+', '*', '*', '*', 'a+', 'd+', 'c+'] RRU RRU
['*', '*', '*', '*', '*', 'r+', 'c+', 'p+'] RRD RRD
['r+', '*', 't+', 'd+', '*', '*', '*', '*'] LUU LUU
['*', 'r+', 'r+', '*', 'a+', '*', '*', 'c+'] LLD LLD
['*', '*', '*', 'c+', '*', '*', '*', '*'] LDD LDD
['c+', '-', '*', '*', '*', 'r+', '*', 't+'] RRD RRD
['-', '*', 'p+', '*', '*', '*', '*', '*'] LLD LLD
['-', 't+', 'd+', 'c+', '*', 'r+', '*', '*'] RRD RRD
['*', '*', '*', 'd+', 'r+', 'p+', '*', '*'] RDD RDD
['-', '*', 'c+', '*', '*', '*', '*', 'p+'] LLD LLD
['*', 'r+', 'c+', '*', 'r+', '*', '*', 'c+'] RDD RDD
['d+', 'r+', '*', 't+', '*', 'a+', '*', '-'] LLU LLU
['r+', 't+', '*', 'c+', '*', 'r+', '*', 't+'] RRD RRD
['d+', '*', 'p+', '*', 'p+', 'c+', 'p+', '*'] LUU LUU
['c+', 'c+', '-', '*', '*', 't+', '*', 'p+'] RRD RRD
['*', '*', 'a+', 'r+', '*', 'a+', '-', 't+'] LDD LDD
['*', '*', '*', 'd+', '*', '-', 'd+', 'd+'] RUU RUU
['*', 'p+', '*', 't+', '*', '*', 'd+', 't+'] RRU RRU
['r+', '*', '*', '*', '*', 'd+', '*', 'p+'] LUU LUU
['p+', 'p+', 'r+', 'r+', 'a+', '-', '*', 't+'] LDD LDD
['p+', 'd+', 'a+', '*', '*', '*', '*', '-'] LLU LLU
['*', 'd+', 'r+', 'p+', '*', '*', 'c+', 'd+'] LLD LLD
['p+', '*', '*', '*', 'c+', '*', 'p+', 'd+'] RUU RUU
['*', 'd+', '*', '*', 'a+', '*', '*', 'd+'] RUU RUU
['*', 'r+', '*', 'r+', 't+', 'a+', '*', 't+'] LDD LDD
['*', '*', '-', '*', 'c+', 't+', 'c+', '*'] RRD RRD
['r+', '*', '*', '*', 'r+', 'p+', 'd+', '*'] RDD RDD
['*', 't+', 'p+', 'r+', '-', '*', 'c+', 'd+'] LDD LDD
['*', '*', '*', '-', '*', 'c+', '*', 'p+'] RRD RRD
['r+', 'd+', '*', 'r+', 'c+', '-', 't+', 't+'] LDD LDD
['a+', 'a+', '-', '-', '*', '*', 'd+', 'd+'] RUU RUU
['c+', '*', '*', 't+', 'p+', '*', '*', '*'] LDD LDD
['*', '*', '*', '*', '-', '*', 'r+', 'r+'] RUU RUU
['t+', 'c+', 't+', 'a+', '*', '*', '*', 'p+'] LLD LLD
['r+', 'r+', '*', '*', '*', '*', '*', '*'] LLU LLU
['c+', '*', 'r+', 'd+', 'c+', '*', '*', 'p+'] LLD LLD
['*', '-', 'r+', '-', 't+', '*', 'p+', 't+'] LLD LLD
['*', 'd+', '*', '*', '*', '*', 'd+', 'r+'] RUU RUU
['*', 'a+', 'p+', '*', '*', 'd+', '*', 'r+'] RUU RUU
['*', '*', '*', '*', '*', 'd+', '*', 'r+'] RUU RUU
['*', '*', '*', 'd+', '*', '*', '*', 't+'] LDD LDD
['*', '-', '*', '-', '*', 'a+', '*', '*'] RRD RRD
['-', 'a+', '*', 'r+', '*', 'p+', '*', '*'] LDD LDD
['c+', 'd+', 'p+', '*', '*', '*', 'a+', '*'] LLU LLU
['*', '*', '-', 'p+', 'c+', 'r+', '*', '-'] RRD RRD
['d+', '*', '*', '-', '*', 'r+', '*', '*'] RRD RRD
['*', 'r+', 't+', 'c+', '*', '-', '*', '*'] LLU LLU
['-', 'r+', '*', '*', '*', '*', 'a+', '*'] LLU LLU
['a+', '*', 'c+', 'p+', 'c+', 't+', 'p+', 'r+'] RUU RUU
['*', 'a+', '*', 'a+', '-', '-', 'a+', 'a+'] RUU RUU
['d+', 't+', 'c+', '*', '*', '*', '*', 'a+'] LUU LUU
['-', '*', '*', 'd+', 'p+', '*', 't+', 'a+'] LDD LDD
['*', '*', 't+', '*', 'a+', '*', 'c+', '*'] LLD LLD
['r+', 'a+', '-', 'p+', '*', '*', 'p+', '*'] LUU LUU
['-', 'p+', '*', 'd+', 'r+', 't+', '*', '*'] RDD RDD
['*', '*', 'a+', '*', 'r+', 't+', '*', '*'] RDD RDD
['*', '*', '-', 'p+', 'd+', '-', '-', '*'] RDD RDD
['t+', 'p+', 'p+', 'a+', '*', '*', 'c+', 'd+'] RUU RUU
['-', '*', 'r+', 'a+', 'a+', 'p+', '-', 'r+'] RUU RUU
['r+', '-', '-', '*', '*', '-', 'a+', '*'] LUU LUU
['*', 'c+', '*', '*', '*', '*', 'c+', '*'] RRU RRU
['-', 'p+', 'd+', 'p+', 't+', '*', 'a+', 'a+'] LLD LLD
['*', 'r+', '*', 'p+', 'c+', '*', '*', 'r+'] RUU RUU
['c+', '*', '-', 'c+', 'p+', '*', 't+', 'r+'] RUU RUU
['p+', '*', '*', 't+', '*', '*', '*', '*'] LDD LDD
['*', 'd+', '*', 'a+', '-', 'd+', 'r+', '*'] RRU RRU
['*', '*', '*', '-', '*', '*', '*', 'p+'] RUU RUU
['p+', 'c+', '*', '-', '*', '*', '*', '*'] LLU LLU
['*', 'a+', '*', '*', '*', '*', 't+', 'p+'] RRU RRU
['p+', '*', 'd+', '*', '-', 'r+', '*', 'd+'] RRD RRD
['*', 'c+', '*', 'r+', '*', 'c+', 'p+', 'p+'] LDD LDD
['p+', 'r+', '*', '*', '*', 'p+', 'c+', '*'] LLU LLU
['*', '-', '*', '*', 'c+', '*', '*', '*'] RDD RDD
['*', 'c+', '*', 'd+', 'c+', 'p+', 'a+', 'r+'] RUU RUU
['t+', '*', '-', 'a+', '*', 't+', '*', '*'] RRD RRD
['d+', 'r+', '*', '*', '-', 't+', '-', '*'] LLU LLU
['r+', 'c+', '*', '*', 'c+', 'c+', 'a+', '*'] LUU LUU
['d+', 'r+', 'p+', '*', '-', '*', 'c+', 'd+'] LLU LLU
['*', 'c+', '*', '*', 'p+', '*', '*', '*'] LLU LLU
['p+', 'a+', 'a+', '-', '*', '*', '*', 'c+'] LLD LLD
['d+', '-', 'd+', 'a+', '*', '*', 'r+', '*'] RRU RRU
['d+', '*', '*', '*', '*', '*', '*', 'd+'] RUU RUU
['*', '*', '-', '*', '*', '*', '*', 'r+'] RUU RUU
['*', '*', 'd+', '*', 'a+', '*', '-', '*'] LLD LLD
['*', '*', 'd+', '-', '*', 'd+', 't+', '*'] RRD RRD
['*', 'c+', '*', '*', '*', '*', '*', 'c+'] RUU RUU
['-', 'r+', '*', 'd+', 'p+', 'd+', 'p+', 'r+'] RUU RUU
['*', 'p+', 'a+', '*', '*', '*', '*', '*'] LLD LLD
['d+', '*', 'p+', '*', '*', 'p+', '*', '*'] LUU LUU
['*', '-', '*', 'd+', 'c+', '*', 'c+', 'r+'] RUU RUU
['r+', 't+', 'a+', 'c+', 'c+', '*', '-', '*'] LUU LUU
['*', '*', 't+', '*', '*', '*', 't+', '*'] RRU RRU
['*', '*', '*', 't+', '*', 'c+', '-', '*'] LDD LDD
['d+', '*', '*', '*', 'p+', '*', '-', '*'] LUU LUU
['*', 'r+', '*', 'd+', 'a+', 'r+', 'c+', 't+'] RRD RRD
['r+', 'd+', '*', '*', '-', 'r+', '*', '*'] RRD RRD
['d+', 't+', '*', '*', 'a+', '-', '*', 'r+'] RUU RUU
['*', '*', '*', '*', 'p+', '*', 'r+', '*'] RRU RRU
['c+', '*', 'd+', '*', '*', 'r+', 'd+', 'c+'] RRD RRD
['c+', '-', 'a+', '-', '*', '*', 'd+', '*'] RRU RRU
['*', 'c+', '*', 'c+', '*', 't+', '*', 'p+'] RRD RRD
['*', 'a+', 'c+', 'c+', '*', '*', '*', 'c+'] LLU LLU
['d+', '*', '*', '*', 'a+', 'p+', 't+', '*'] LUU LUU
['*', 'a+', '*', 'd+', '*', '-', 'c+', '*'] LDD LDD
